epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2086.48,1.30265,1.05936,1.38751,0.32157,0.47616,0.36476,0.17552,2.1053,2.0512,2.12059,0.000533017,0.000533017,0.000533017
78,2113.43,1.28941,1.04893,1.37917,0.31562,0.39578,0.33488,0.14593,2.21819,2.20622,2.23584,0.000521228,0.000521228,0.000521228
79,2139.02,1.26824,1.00821,1.36477,0.37396,0.37311,0.36988,0.16937,2.07906,2.10046,2.1324,0.000509438,0.000509438,0.000509438
80,2166.13,1.26201,0.98646,1.36734,0.29469,0.50721,0.3331,0.15349,2.08362,2.02352,2.15355,0.000497649,0.000497649,0.000497649
81,2191.67,1.2713,0.98915,1.36612,0.32628,0.44625,0.35802,0.15871,2.15977,2.11576,2.17158,0.00048586,0.00048586,0.00048586
82,2219.59,1.23552,0.96981,1.36213,0.33483,0.45694,0.34681,0.15746,2.08081,2.18322,2.16248,0.000474071,0.000474071,0.000474071
83,2244.35,1.21279,0.94402,1.34562,0.41193,0.33195,0.35248,0.16113,2.0868,2.05211,2.16225,0.000462281,0.000462281,0.000462281
84,2271.19,1.23109,0.95049,1.34074,0.31345,0.4099,0.34147,0.14767,2.09388,2.19916,2.18185,0.000450492,0.000450492,0.000450492
85,2297.54,1.19877,0.92172,1.30783,0.33571,0.43618,0.37939,0.16783,2.0934,2.02154,2.15687,0.000438703,0.000438703,0.000438703
86,2325,1.1835,0.88606,1.31495,0.40409,0.37216,0.37021,0.16688,2.14025,2.15136,2.19602,0.000426914,0.000426914,0.000426914
87,2350.84,1.20856,0.92249,1.3358,0.34312,0.47068,0.3719,0.16136,2.13958,2.21924,2.20571,0.000415124,0.000415124,0.000415124
88,2377.54,1.19868,0.91116,1.35583,0.38849,0.36674,0.36276,0.15427,2.16764,2.19666,2.24112,0.000403335,0.000403335,0.000403335
89,2404.69,1.16353,0.87237,1.2989,0.36047,0.37195,0.36105,0.17295,2.10234,2.11236,2.15854,0.000391546,0.000391546,0.000391546
90,2431.38,1.16782,0.87266,1.31705,0.41163,0.3928,0.38186,0.17377,2.09992,2.1019,2.22261,0.000379757,0.000379757,0.000379757
91,2457.61,1.19755,0.90611,1.31776,0.32668,0.43307,0.37862,0.17134,2.11703,2.23001,2.25221,0.000367967,0.000367967,0.000367967
